文件名	扩展名	大小(bytes)	Mapper	错误
口袋妖怪 - 钻石版[外星科技](CN)[RPG](8Mb).nes	nes	1048592	164	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 164(164)
口袋钻石[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
快打传说[Gouder](CN)[FTG](3Mb).nes	nes	393232	189	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 189(189)
快打旋风[Madcell汉化](JP)[ACT](2.25Mb).nes	nes	294928	191	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 191(191)
快打旋风3[dfqshy汉化](CN)[ACT](6Mb).nes	nes	786448	90	This ROM uses a mapper not supported by JSNES: Unknown Mapper(90)
快杰洋枪丸2 - 机关之地大冒险[烈火暴龙汉化](JP)[ACT](2Mb).nes	nes	262160	32	This ROM uses a mapper not supported by JSNES: Irem G-101 chip(32)
快杰洋枪丸3 - 对决!相凌轩[烈火暴龙汉化](JP)[ACT](2Mb).nes	nes	262160	65	This ROM uses a mapper not supported by JSNES: Irem H-3001 chip(65)
拉迪亚战记[外星科技汉化](JP)[RPG](6Mb).nes	nes	786448	199	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 199(199)
拉格朗日点 (v1.1)[未名汉化组汉化](JP)[RPG](8Mb).nes	nes	1048592	85	This ROM uses a mapper not supported by JSNES: Unknown Mapper(85)
蜡笔小新[Future](CN)[ACT](3Mb).nes	nes	393232	117	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 117(117)
雷电2[三协资讯](CN)[STG](2Mb).nes	nes	262160	115	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 115(115)
雷电皇 - 比卡丘传说[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
雷霆任务[金明汉化](JP)[ACT](2Mb).nes	nes	262160	64	This ROM uses a mapper not supported by JSNES: Tengen RAMBO-1 chip(64)
梁山英雄[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
梁山英雄传[奔升](CN)[SLG](4Mb).nes	nes	524304	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
六角方块[TXC](CN)[PUZ](0.75Mb).nes	nes	98320	132	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 132(132)
龙魂 - 新的传说[Nineswords汉化](JP)[STG](6Mb).nes	nes	786464	88	This ROM uses a mapper not supported by JSNES: Unknown Mapper(88)
龙魂 - 新的血族[Nineswords汉化](JP)[STG](6Mb).nes	nes	786464	88	This ROM uses a mapper not supported by JSNES: Unknown Mapper(88)
龙域天下[外星科技汉化](JP)[RPG](6Mb).nes	nes	786448	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
龙之忍者[MS汉化](JP)[ACT](2Mb).nes	nes	262160	19	This ROM uses a mapper not supported by JSNES: Namcot 106 chip(19)
龙珠Z - 超武斗传2[天空联盟汉化](CN)[FTG](3Mb).nes	nes	393232	91	This ROM uses a mapper not supported by JSNES: Pirate HK-SF3 chip(91)
龙珠Z - 强袭！赛亚人[外星科技汉化](JP)[RPG](6Mb).nes	nes	786448	253	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 253(253)
龙珠Z 强袭！赛亚人(大陆译名)(2019公测版)[Lirdrepus](6Mb).nes	nes	786448	253	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 253(253)
龙珠Z 强袭！赛亚人(香港译名)(2019公测版)[Lirdrepus](6Mb).nes	nes	786448	253	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 253(253)
龙珠Z2 - 电光火石[外星科技汉化](JP)[RPG](6Mb).nes	nes	786448	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
龙珠Z2 - 激战弗利萨[酷哥电子](JP)[RPG](6Mb).nes	nes	786448	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
龙珠Z2 - 激战弗利萨[外星科技汉化](JP)[RPG](6Mb).nes	nes	786448	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
龙珠Z2 激战弗利萨 (大陆译名)[Lirdrepus](6Mb).nes	nes	786448	199	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 199(199)
龙珠Z2 激战弗利萨 (香港译名)[Lirdrepus](6Mb).nes	nes	786448	199	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 199(199)
龙珠Z3 - 人造人列传[外星科技汉化](JP)[RPG](6Mb).nes	nes	786448	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
龙珠Z3 人造人列传 (大陆译名)[Lirdrepus](6Mb).nes	nes	786448	199	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 199(199)
龙珠Z3 人造人列传 (香港译名)[Lirdrepus](6Mb).nes	nes	786448	199	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 199(199)
龙珠Z外传 - 赛亚人灭绝计划[恒格电子](JP)[RPG](6Mb).nes	nes	786448	253	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 253(253)
龙珠Z外传 - 赛亚人灭绝计划[酷哥电子](JP)[RPG](6Mb).nes	nes	786448	253	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 253(253)
龙珠Z外传 - 赛亚人灭绝计划[外星科技汉化](JP)[RPG](6Mb).nes	nes	786448	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
龙珠Z外传 赛亚人灭绝计划 (大陆译名)[Lirdrepus](6Mb).nes	nes	786448	253	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 253(253)
龙珠Z外传 赛亚人灭绝计划 (香港译名)[Lirdrepus](6Mb).nes	nes	786448	253	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 253(253)
鹿鼎记[南晶科技](CN)[RPG](4Mb).nes	nes	524304	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
洛克人X[外星科技](JP)[TAB](4Mb).nes	nes	524304	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
麻将方块[Idea-Tek](CN)[PUZ](0.5Mb).nes	nes	65552	173	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 173(173)
麻雀世界 - 歌舞伎町篇[Sachen](CN)[TAB](1Mb).nes	nes	131088	146	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 146(146)
麻雀世界[Sachen](CN)[TAB](1Mb).nes	nes	131088	148	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 148(148)
马步迷阵 & 趣味成语屋[小霸王](CN)[PUZ](2Mb).nes	nes	262160	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
美国富豪[恒格电子](CN)[TAB](8Mb).nes	nes	1048592	177	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 177(177)
美女拳[Sachen](CN)[PUZ](1.25Mb).nes	nes	163856	150	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 150(150)
美少女梦工厂[Sachen](CN)[AVG](12Mb).unf	unf	1573019	-	Not an iNES ROM: header is not NES<EOF>
盟军赶死队[外星科技](CN)[RPG](4Mb).nes	nes	524304	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
梦幻沙漏[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
梦幻之星4[外星科技](CN)[RPG](8Mb).nes	nes	1048592	176	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 176(176)
梦境之王[外星科技](JP)[RPG](6Mb).nes	nes	786448	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
梦企鹅物语 (v1.2)[汉化你妹汉化组汉化](JP)[ACT](3Mb).nes	nes	393232	191	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 191(191)
迷宫封印[Sachen](CN)[PUZ](1Mb).nes	nes	131088	141	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 141(141)
迷魂车[Puszta汉化](CN)[ACT](0.75Mb).nes	nes	98320	133	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 133(133)
魔幻世界[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
魔界霸主[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
魔界塔士[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
魔力战士[恒格电子](CN)[RPG](4Mb).nes	nes	524304	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
魔女小红帽 (繁体中文版)[冰组汉化](JP)[ACT](2.12Mb).nes	nes	278544	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
魔女小红帽 (简体中文版)[冰组汉化](JP)[ACT](2.12Mb).nes	nes	278544	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
魔兽世界 - 恶魔猎人[南晶科技](CN)[RPG](8Mb).nes	nes	1048592	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
